Id,BRA,EST,PER,FOC,EXP,FRW.ANG,FRW.BBO,FRW.EMB,FRW.JQU,FRW.KNO,FRW.OTH,MOD,MOD.AMD,MOD.COM,MOD.OTH,PKG,PKG.BOW,PKG.NPM,PKG.VOL,PKG.JAM,PKG.OTH,AUT,AUT.GRN,AUT.GER,AUT.ANT,AUT.MAK,AUT.CAK,AUT.JAK,AUT.RAK,AUT.BAS,AUT.OTH,TST,TST.UNI,TST.INT,TST.PER,TST.OTH,TST.FER,TST.FER.QUN,TST.FER.KAR,TST.FER.JAS,TST.FER.SIN,TST.FER.MOC,TST.FER.OTH,VER,VER.GIT,VER.MER,VER.SVN,VER.RAT,VER.OTH,PCS,PCS.LES,PCS.SAS,PCS.STY,PCS.ROO,PCS.OTH,CSS,CSS.TBS,CSS.TCO,CSS.FOU,CSS.PUR,CSS.OTH,TMP,TMP.DUS,TMP.HAN,TMP.MUS,TMP.JAD,TMP.FRW,TMP.OTH,LNG,LNG.CHO,PRO.MHT,PRO.MCS,PRO.MJS,PRO.CCS,PRO.CJS,PRO.OIM,PRO.CDU,PRO.CDR,PRO.OTH,BRW.SUP,BRW.DES,MOB,EDT.SUB,EDT.WEB,EDT.NOT,EDT.VST,EDT.DRW,EDT.VIM,EDT.EMA,EDT.TXM,EDT.NET,EDT.ECL,EDT.BRA,EDT.OTH
148,S,MG,B,,A,1,,,,,,N,,,,N,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,S,1,,,,,N,,,,,,N,,,,,,N,,,,,,,N,,1,1,1,1,1,1,,,,2,A,3,1,,,,,,,,,,,
149,S,PR,F,N,C,,,,1,,,U,,,,N,,,,,,N,,,,,,,,,,S,1,,,,S,,,,,,1,N,,,,,,N,,,,,,S,1,,,,,N,,,,,,,N,,1,,,,,,,,,3,A,2,,,,,1,,,,,,,
150,S,SP,B,,C,,,,1,,,N,,,,N,,,,,,N,,,,,,,,,,S,1,,1,,N,,,,,,,N,,,,,,S,1,,,,,S,1,,,,,N,,,,,,,N,,1,1,1,1,1,1,1,,,3,A,0,,,,,1,,,,,,,
154,S,SP,B,,B,,,,1,,,U,,,,S,1,,,,,S,1,,,,,,,,,N,,,,,,,,,,,,S,1,,1,,,N,,,,,,S,1,,,,,N,,,,,,,N,,1,1,1,1,1,1,,,,3,A,2,1,,1,,,,,,1,,,
159,S,CE,B,,D,,,,1,,,N,,,,N,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,N,,,,,,N,,,,,,S,,,1,,,N,,,,,,,N,,,,,1,,,1,,,1,A,2,1,,1,,,,,,,,,
161,S,RJ,B,,D,1,,,1,,,N,,,,S,1,1,,,,S,1,,,,,,,,,N,,,,,,,,,,,,S,1,,1,,,S,1,1,,,,N,,,,,,S,,1,,,,,N,,1,1,1,1,1,1,,,,2,A,2,1,,,,,,,,,,,
163,S,PR,B,,D,,,,1,,,N,,,,N,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,N,,,,,,N,,,,,,N,,,,,,N,,,,,,,N,,1,1,,1,,,,,,2,C,4,,,1,,1,,,,,,,
166,S,RJ,B,,D,,1,,1,,,N,,,,N,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,S,,,1,,,S,,1,,,,S,1,,1,1,,S,,1,,,1,,N,,1,1,1,1,,1,,,,1,A,2,1,,,1,,,,,,,,
168,S,PR,A,N,C,,,,1,,,N,,,,N,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,S,1,,1,,,N,,,,,,S,1,,,,,N,,,,,,,N,,,,,,,1,1,,,3,A,1,,,1,,,,,,1,1,,
169,S,SP,E,N,D,,,,1,,,N,,,,N,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,S,1,,,,,N,,,,,,S,1,,1,,,N,,,,,,,N,,1,1,1,,,1,,,,2,A,2,1,,,,,,,,,,,
173,S,MG,B,,D,1,1,,1,,,S,1,,,S,1,1,,,,S,1,,,,,,,,,S,1,,,,S,,,1,,,,S,1,,1,,,S,,,,1,,S,1,,,,,N,,,,,,,N,,1,1,1,1,1,,,1,,2,A,3,1,,,,,,,,,,,
174,S,RJ,B,,D,1,1,,1,,,S,1,1,,N,,,,,,S,1,,,,,,,,,N,,,,,,,,,,,,S,1,,1,,,S,,1,,,,S,1,,1,,,S,,,1,,,,N,,,1,1,1,1,1,,,,2,A,2,1,,,,,,,,,,,
178,S,DF,E,S,B,,,,1,,,U,,,,S,,,,,,S,,,,,1,,,,,N,,,,,,,,,,,,S,1,,,,,S,1,,,,,S,1,,,,,N,,,,,,,N,,1,1,,1,,1,,,,3,A,0,1,,,,,,,,,,,
179,S,SP,B,,D,1,,,1,,,S,,1,,N,,,,,,S,1,,,,,,,,,N,,,,,,,,,,,,S,1,,1,,,N,,,,,,S,1,,,,,N,,,,,,,N,,1,1,1,,,,1,,,2,A,3,1,,,,,,,,,,,
180,S,RJ,A,N,D,,1,,1,,1,S,,1,,S,1,1,,,,S,1,,,,,,,1,,S,1,1,1,,S,1,,1,,,1,S,1,,,,,S,1,1,,,,N,,,,,,S,,1,,,,,N,,,1,1,1,1,1,1,,,2,B,2,1,,,,,1,,,,,,
181,S,SP,B,,B,,,,1,,,U,,,,N,,,,,,N,,,,,,,,,,S,,1,,,N,,,,,,,N,,,,,,N,,,,,,S,1,,1,,,N,,,,,,,N,,1,1,1,1,1,1,,,,1,A,1,1,,,,1,,,,,,,
182,S,SP,B,,B,,,,1,,,U,,,,N,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,S,,,,,,N,,,,,,N,,,,,,N,,,,,,,N,,,,,,,1,,,,2,B,0,1,,,,,,,,,,,
184,S,MG,A,S,A,,,,1,,,U,,,,N,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,N,,,,,,N,,,,,,N,,,,,,N,,,,,,,N,,,1,,,,,,,,3,A,1,1,,,,,,,,,,,
185,S,RS,B,,D,,,,1,,,N,,,,N,,,,,,N,,,,,,,,,,N,,,,,,,,,,,,S,1,,1,,,N,,,,,,N,,,,,,N,,,,,,,N,,1,,1,1,1,1,1,,,2,A,2,1,,1,,1,,,,,,,
188,S,SP,B,,A,1,,,,,,N,,,,S,1,1,,1,,N,,,,,,,,,,S,1,,,,S,,,1,,,,N,,,,,,N,,,,,,S,1,,1,,,S,,1,1,,,,N,,1,,,,,,,,,0,A,0,,,1,1,,,,,,,,
